Reflectivity signal measured in H2O ice compressed at 84 GPa
Measurement conducted by Sergey Nikitin in May 2014
Time (ns)	Amplitude (V)
-2.709860e-02 	 6.293500e-05
-2.605630e-02 	 6.288300e-05
-2.501410e-02 	 6.289300e-05
-2.397180e-02 	 6.287800e-05
-2.292960e-02 	 6.289200e-05
-2.188730e-02 	 6.284300e-05
-2.084510e-02 	 6.280500e-05
-1.980280e-02 	 6.280700e-05
-1.876060e-02 	 6.283500e-05
-1.771830e-02 	 6.280900e-05
-1.667610e-02 	 6.282600e-05
-1.563380e-02 	 6.286700e-05
-1.459160e-02 	 6.286100e-05
-1.354930e-02 	 6.291300e-05
-1.250700e-02 	 6.293100e-05
-1.146480e-02 	 6.295700e-05
-1.042250e-02 	 6.303200e-05
-9.380300e-03 	 6.307200e-05
-8.338000e-03 	 6.310100e-05
-7.295800e-03 	 6.313800e-05
-6.253500e-03 	 6.316900e-05
-5.211300e-03 	 6.323400e-05
-4.169000e-03 	 6.354800e-05
-3.126800e-03 	 6.449200e-05
-2.084500e-03 	 6.697300e-05
-1.042300e-03 	 7.127800e-05
0.000000e+00 	 7.536000e-05
1.042200e-03 	 7.614100e-05
2.084500e-03 	 7.329200e-05
3.126800e-03 	 7.004700e-05
4.169000e-03 	 6.792200e-05
5.211300e-03 	 6.680200e-05
6.253500e-03 	 6.617500e-05
7.295800e-03 	 6.586600e-05
8.338000e-03 	 6.571600e-05
9.380300e-03 	 6.558700e-05
1.042250e-02 	 6.554400e-05
1.146480e-02 	 6.555300e-05
1.250700e-02 	 6.567100e-05
1.354930e-02 	 6.569900e-05
1.459150e-02 	 6.576400e-05
1.563380e-02 	 6.567900e-05
1.667610e-02 	 6.559100e-05
1.771830e-02 	 6.542000e-05
1.876060e-02 	 6.523700e-05
1.980280e-02 	 6.503400e-05
2.084510e-02 	 6.486500e-05
2.188730e-02 	 6.476200e-05
2.292960e-02 	 6.470600e-05
2.397180e-02 	 6.476400e-05
2.501410e-02 	 6.485600e-05
2.605630e-02 	 6.495400e-05
2.709860e-02 	 6.506200e-05
2.814080e-02 	 6.511700e-05
2.918310e-02 	 6.511200e-05
3.022530e-02 	 6.507700e-05
3.126760e-02 	 6.501400e-05
3.230990e-02 	 6.484100e-05
3.335210e-02 	 6.467500e-05
3.439440e-02 	 6.451300e-05
3.543660e-02 	 6.439800e-05
3.647890e-02 	 6.434300e-05
3.752110e-02 	 6.440000e-05
3.856340e-02 	 6.450300e-05
3.960560e-02 	 6.466200e-05
4.064790e-02 	 6.484600e-05
4.169010e-02 	 6.496900e-05
4.273240e-02 	 6.503800e-05
4.377460e-02 	 6.508500e-05
4.481690e-02 	 6.502100e-05
4.585910e-02 	 6.492700e-05
4.690140e-02 	 6.483200e-05
4.794370e-02 	 6.464700e-05
4.898590e-02 	 6.448100e-05
5.002820e-02 	 6.443600e-05
5.107040e-02 	 6.446000e-05
5.211270e-02 	 6.448600e-05
5.315490e-02 	 6.461900e-05
5.419720e-02 	 6.477200e-05
5.523940e-02 	 6.490700e-05
5.628170e-02 	 6.496400e-05
5.732390e-02 	 6.499400e-05
5.836620e-02 	 6.499300e-05
5.940840e-02 	 6.488400e-05
6.045070e-02 	 6.475300e-05
6.149300e-02 	 6.458000e-05
6.253520e-02 	 6.440100e-05
6.357750e-02 	 6.433700e-05
6.461970e-02 	 6.432100e-05
6.566200e-02 	 6.441000e-05
6.670420e-02 	 6.448100e-05
6.774650e-02 	 6.460400e-05
6.878870e-02 	 6.473100e-05
6.983100e-02 	 6.483200e-05
7.087320e-02 	 6.487000e-05
7.191550e-02 	 6.491000e-05
7.295770e-02 	 6.483000e-05
7.400000e-02 	 6.471400e-05
7.504220e-02 	 6.457200e-05
7.608450e-02 	 6.442600e-05
7.712680e-02 	 6.429800e-05
7.816900e-02 	 6.421900e-05
7.921130e-02 	 6.423100e-05
8.025350e-02 	 6.433000e-05
8.129580e-02 	 6.449200e-05
8.233800e-02 	 6.467100e-05
8.338030e-02 	 6.485800e-05
8.442250e-02 	 6.495800e-05
8.546480e-02 	 6.494900e-05
8.650700e-02 	 6.486500e-05
8.754930e-02 	 6.475500e-05
8.859150e-02 	 6.458200e-05
8.963380e-02 	 6.442800e-05
9.067610e-02 	 6.434000e-05
9.171830e-02 	 6.428000e-05
9.276060e-02 	 6.424900e-05
9.380280e-02 	 6.430000e-05
9.484510e-02 	 6.440700e-05
9.588730e-02 	 6.455300e-05
9.692960e-02 	 6.472300e-05
9.797180e-02 	 6.483500e-05
9.901410e-02 	 6.485300e-05
1.000563e-01 	 6.483600e-05
1.010986e-01 	 6.471900e-05
1.021408e-01 	 6.460400e-05
1.031831e-01 	 6.443600e-05
1.042253e-01 	 6.424200e-05
1.052676e-01 	 6.411500e-05
1.063099e-01 	 6.412000e-05
1.073521e-01 	 6.416300e-05
1.083944e-01 	 6.422900e-05
1.094366e-01 	 6.440400e-05
1.104789e-01 	 6.459500e-05
1.115211e-01 	 6.468700e-05
1.125634e-01 	 6.477500e-05
1.136056e-01 	 6.479100e-05
1.146479e-01 	 6.472400e-05
1.156901e-01 	 6.458300e-05
1.167324e-01 	 6.435900e-05
1.177746e-01 	 6.417100e-05
1.188169e-01 	 6.403000e-05
1.198591e-01 	 6.402800e-05
1.209014e-01 	 6.406500e-05
1.219437e-01 	 6.414600e-05
1.229859e-01 	 6.425800e-05
1.240282e-01 	 6.441100e-05
1.250704e-01 	 6.459300e-05
1.261127e-01 	 6.471800e-05
1.271549e-01 	 6.479600e-05
1.281972e-01 	 6.475200e-05
1.292394e-01 	 6.460400e-05
1.302817e-01 	 6.441600e-05
1.313239e-01 	 6.423600e-05
1.323662e-01 	 6.406600e-05
1.334084e-01 	 6.390400e-05
1.344507e-01 	 6.378100e-05
1.354930e-01 	 6.379300e-05
1.365352e-01 	 6.390100e-05
1.375775e-01 	 6.401800e-05
1.386197e-01 	 6.419100e-05
1.396620e-01 	 6.432900e-05
1.407042e-01 	 6.439100e-05
1.417465e-01 	 6.439300e-05
1.427887e-01 	 6.425400e-05
1.438310e-01 	 6.410800e-05
1.448732e-01 	 6.394000e-05
1.459155e-01 	 6.377200e-05
1.469577e-01 	 6.364600e-05
1.480000e-01 	 6.357600e-05
1.490422e-01 	 6.359400e-05
1.500845e-01 	 6.373700e-05
1.511268e-01 	 6.394800e-05
1.521690e-01 	 6.411300e-05
1.532113e-01 	 6.432200e-05
1.542535e-01 	 6.440400e-05
1.552958e-01 	 6.442300e-05
1.563380e-01 	 6.441500e-05
1.573803e-01 	 6.423900e-05
1.584225e-01 	 6.405500e-05
1.594648e-01 	 6.389800e-05
1.605070e-01 	 6.376000e-05
1.615493e-01 	 6.372200e-05
1.625915e-01 	 6.372900e-05
1.636338e-01 	 6.389200e-05
1.646761e-01 	 6.404500e-05
1.657183e-01 	 6.419600e-05
1.667606e-01 	 6.441800e-05
1.678028e-01 	 6.448900e-05
1.688451e-01 	 6.453100e-05
1.698873e-01 	 6.451700e-05
1.709296e-01 	 6.442200e-05
1.719718e-01 	 6.424800e-05
1.730141e-01 	 6.401600e-05
1.740563e-01 	 6.387200e-05
1.750986e-01 	 6.374000e-05
1.761408e-01 	 6.375600e-05
1.771831e-01 	 6.381600e-05
1.782253e-01 	 6.396400e-05
1.792676e-01 	 6.417600e-05
1.803099e-01 	 6.435700e-05
1.813521e-01 	 6.452800e-05
1.823944e-01 	 6.461600e-05
1.834366e-01 	 6.460000e-05
1.844789e-01 	 6.450000e-05
1.855211e-01 	 6.434800e-05
1.865634e-01 	 6.416800e-05
1.876056e-01 	 6.398400e-05
1.886479e-01 	 6.385100e-05
1.896901e-01 	 6.383000e-05
1.907324e-01 	 6.382100e-05
1.917746e-01 	 6.395700e-05
1.928169e-01 	 6.414200e-05
1.938591e-01 	 6.430100e-05
1.949014e-01 	 6.446900e-05
1.959437e-01 	 6.461900e-05
1.969859e-01 	 6.463500e-05
1.980282e-01 	 6.461500e-05
1.990704e-01 	 6.453000e-05
2.001127e-01 	 6.436900e-05
2.011549e-01 	 6.419700e-05
2.021972e-01 	 6.404200e-05
2.032394e-01 	 6.397600e-05
2.042817e-01 	 6.399100e-05
2.053239e-01 	 6.403700e-05
2.063662e-01 	 6.419400e-05
2.074084e-01 	 6.437800e-05
