Freq (Hz)	Sonde/GEN_Mod	Sonde/GEN_Phase(rad)
129.000000000000030E+0	32.953401425891711E-3	35.742053713994260E+0
130.000000000000030E+0	31.184875726528390E-3	35.518916328876593E+0
131.000000000000030E+0	30.685342478347758E-3	35.574007102422961E+0
132.000000000000030E+0	30.892912430407603E-3	35.338721309500286E+0
133.000000000000030E+0	29.518437714710084E-3	35.456043526023720E+0
134.000000000000030E+0	29.635609135515835E-3	35.225023478228870E+0
135.000000000000030E+0	33.190499777158017E-3	35.383974099522796E+0
136.000000000000030E+0	29.675085690263222E-3	35.089318361355360E+0
137.000000000000030E+0	29.716407373750881E-3	34.889794287505609E+0
138.000000000000030E+0	28.806238418334185E-3	34.955360704009436E+0
139.000000000000030E+0	31.812623236468593E-3	34.794935158092798E+0
140.000000000000030E+0	27.118036784066935E-3	34.705786644346688E+0
141.000000000000030E+0	30.958691493118303E-3	34.414280527998372E+0
142.000000000000030E+0	29.259668011534238E-3	34.316390784771485E+0
143.000000000000030E+0	29.803253631967702E-3	34.227430162092638E+0
144.000000000000030E+0	27.831902600053016E-3	34.021878285008285E+0
145.000000000000030E+0	24.575990278098880E-3	34.014931312717294E+0
146.000000000000030E+0	26.564716616289147E-3	33.868882698384546E+0
147.000000000000030E+0	24.585805988827206E-3	33.840789789859564E+0
148.000000000000030E+0	30.095850075976243E-3	33.868385902821288E+0
149.000000000000030E+0	29.161356586104071E-3	33.718556065773782E+0
150.000000000000030E+0	27.758806517106129E-3	33.638483037336279E+0
151.000000000000030E+0	31.259828629564827E-3	33.641072441201445E+0
152.000000000000030E+0	35.178126860315316E-3	33.483692262295953E+0
153.000000000000030E+0	36.726923228344761E-3	33.444983159225828E+0
154.000000000000030E+0	37.177536931745400E-3	33.295048265827212E+0
155.000000000000030E+0	37.176994769119898E-3	33.344502214286479E+0
156.000000000000030E+0	41.613324845907261E-3	33.222899208248677E+0
157.000000000000030E+0	46.128096930537037E-3	33.156488800959217E+0
158.000000000000030E+0	48.666123619513238E-3	33.145888890115813E+0
159.000000000000030E+0	52.248726878103717E-3	33.025597383487813E+0
160.000000000000030E+0	55.119241990388930E-3	32.965058194639745E+0
161.000000000000030E+0	60.546887079353802E-3	32.866806016848699E+0
162.000000000000030E+0	62.424318885296495E-3	32.765701588949973E+0
163.000000000000030E+0	66.633312286903959E-3	32.677923939036816E+0
164.000000000000030E+0	65.165986332463371E-3	32.648355912632581E+0
165.000000000000030E+0	66.632187145698324E-3	32.523737414396074E+0
166.000000000000030E+0	69.499319198686224E-3	32.514878766014618E+0
167.000000000000030E+0	71.063229575326084E-3	32.429678953488327E+0
168.000000000000030E+0	72.751845927259237E-3	32.428583575332112E+0
169.000000000000030E+0	74.487606034999446E-3	32.421515562911466E+0
170.000000000000030E+0	74.428396664077606E-3	32.352999737217701E+0
171.000000000000030E+0	79.646138132643429E-3	32.326955057495759E+0
172.000000000000030E+0	83.141888072941955E-3	32.315339600803910E+0
173.000000000000030E+0	85.856904066450829E-3	32.289821500215346E+0
174.000000000000030E+0	91.957731208842361E-3	32.268515617611449E+0
175.000000000000030E+0	92.047708360535205E-3	32.255239566081123E+0
176.000000000000030E+0	97.045213362050950E-3	32.137640910225691E+0
177.000000000000030E+0	107.002890383696400E-3	32.182855186638193E+0
178.000000000000030E+0	106.713813018840350E-3	32.122486635943027E+0
179.000000000000030E+0	112.219469890322320E-3	32.088268053451621E+0
180.000000000000030E+0	114.966727156434400E-3	32.064830480768734E+0
181.000000000000030E+0	117.800709828456400E-3	32.005109340766936E+0
182.000000000000030E+0	127.540042071907420E-3	31.963122887576919E+0
183.000000000000030E+0	131.912166093167050E-3	31.981305157132859E+0
184.000000000000030E+0	132.823432730188600E-3	31.924538631390195E+0
185.000000000000030E+0	139.724425640543270E-3	31.886136901921375E+0
186.000000000000030E+0	141.299077485642330E-3	31.835883343299280E+0
187.000000000000030E+0	155.316736091190400E-3	31.803847267447498E+0
188.000000000000030E+0	151.608557982016970E-3	31.783490046285415E+0
189.000000000000030E+0	159.485971838327720E-3	31.742797143984259E+0
190.000000000000030E+0	158.329917856752600E-3	31.715912061936990E+0
191.000000000000030E+0	162.510270005759650E-3	31.656522883876413E+0
192.000000000000030E+0	172.624919292629880E-3	31.632222545868036E+0
193.000000000000030E+0	175.734909376132260E-3	31.651416243354898E+0
194.000000000000030E+0	172.214520508514820E-3	31.598361127781899E+0
195.000000000000030E+0	185.730582866426600E-3	31.578567410943375E+0
196.000000000000030E+0	182.390692279777000E-3	31.525815715471548E+0
197.000000000000030E+0	192.881009848457520E-3	31.501373056514506E+0
