Freq (Hz)	accelerometre /source_source_Mod	accelerometre /source_source_Phase(rad)
218.000000000000030E+0	269.333276715430450E-3	13.748632670026062E+0
219.000000000000030E+0	234.051153852182170E-3	13.950348212427977E+0
220.000000000000030E+0	139.597820670304320E-3	14.293037688538703E+0
221.000000000000030E+0	60.189716390074401E-3	13.224614728178578E+0
222.000000000000030E+0	213.715113823927770E-3	13.463382713288381E+0
223.000000000000030E+0	301.011851985698410E-3	13.748108687918322E+0
224.000000000000030E+0	400.051122747347720E-3	14.170321191823188E+0
225.000000000000030E+0	287.702321605472540E-3	14.149945125848081E+0
226.000000000000030E+0	325.785868437427180E-3	13.949362598926562E+0
227.000000000000030E+0	207.139389927579990E-3	13.578275207329684E+0
228.000000000000030E+0	262.138418026456540E-3	13.359173708895737E+0
229.000000000000030E+0	281.717270714249290E-3	13.366924302790951E+0
230.000000000000030E+0	301.935103354807050E-3	13.880626486874918E+0
231.000000000000030E+0	126.680981000857280E-3	14.051624771009097E+0
232.000000000000030E+0	97.013013420149702E-3	13.419614374179615E+0
233.000000000000030E+0	148.180606424608920E-3	13.120173006683391E+0
234.000000000000030E+0	209.503236065120340E-3	13.076844000228997E+0
235.000000000000030E+0	285.541699986652080E-3	13.156237955750361E+0
236.000000000000030E+0	206.971163938122760E-3	13.308507380150694E+0
237.000000000000030E+0	115.751284990871480E-3	12.988331924510350E+0
238.000000000000030E+0	101.574685186851060E-3	12.662439198997454E+0
239.000000000000030E+0	49.423502663997552E-3	12.464212876438557E+0
240.000000000000030E+0	148.696613880723080E-3	12.285515780934658E+0
241.000000000000030E+0	99.338503035856562E-3	13.008306997334252E+0
242.000000000000030E+0	69.656470624296501E-3	13.715749556255542E+0
243.000000000000030E+0	34.421759093240162E-3	14.465511100590129E+0
244.000000000000030E+0	32.449874677145524E-3	14.818359660028140E+0
245.000000000000030E+0	74.631106773481726E-3	11.715672394521150E+0
246.000000000000030E+0	133.249367210106410E-3	13.707495485441250E+0
247.000000000000030E+0	127.284860101917250E-3	14.324234629731471E+0
248.000000000000030E+0	133.480920738941490E-3	15.066025207858935E+0
249.000000000000030E+0	141.952707357988960E-3	16.200468363273970E+0
250.000000000000030E+0	64.870162332371417E-3	18.979588861522981E+0
251.000000000000030E+0	116.996366684486040E-3	20.019463031230355E+0
252.000000000000030E+0	204.018435206708290E-3	20.346824922283194E+0
253.000000000000030E+0	238.498185508077470E-3	20.731429652308805E+0
254.000000000000030E+0	262.209637740740300E-3	20.782189186811237E+0
