Freq (Hz)	accelerometre (V^2 )	source
source
source(V^2 )
158.000000000000090E+0	48.115512327135796E+0	185.762435044351830E+0
159.000000000000090E+0	27.897448097876957E+0	120.510278421474960E+0
160.000000000000090E+0	17.698990421300586E+0	45.638549843080881E+0
161.000000000000090E+0	27.700465196334726E+0	72.765330381910601E+0
162.000000000000090E+0	90.116528458449693E+0	235.979930632813790E+0
163.000000000000090E+0	50.165621931640992E+0	102.629797519345290E+0
164.000000000000090E+0	29.088740117467598E+0	58.115953096448649E+0
165.000000000000090E+0	38.559836916301990E+0	84.977323844985292E+0
166.000000000000090E+0	15.209326626434342E+0	42.884474863839458E+0
167.000000000000090E+0	66.422501343887660E+0	225.783995917068810E+0
168.000000000000090E+0	80.531653742907423E+0	212.477160169667660E+0
169.000000000000090E+0	21.927762792000667E+0	50.482058079108192E+0
170.000000000000090E+0	32.670976259677367E+0	58.136873116540165E+0
171.000000000000090E+0	83.696171800138231E+0	170.353970128465510E+0
172.000000000000090E+0	87.465786990943911E+0	168.062850338089620E+0
173.000000000000090E+0	64.908969895550882E+0	88.910348345497681E+0
174.000000000000090E+0	45.085539697021183E+0	51.985735429339471E+0
175.000000000000090E+0	59.539625093854411E+0	66.891667761064170E+0
176.000000000000090E+0	171.495632245143640E+0	190.221917850905190E+0
177.000000000000090E+0	146.379403127048050E+0	163.879599104146170E+0
178.000000000000090E+0	152.962124261386690E+0	181.444058369420250E+0
179.000000000000090E+0	39.710491641362971E+0	26.558009334772937E+0
180.000000000000090E+0	110.402518929889240E+0	175.567095958459330E+0
181.000000000000090E+0	141.582382101887220E+0	311.339077958157130E+0
182.000000000000090E+0	35.360172993256739E+0	95.463428221510682E+0
183.000000000000090E+0	61.767270032011460E+0	100.208204951902870E+0
184.000000000000090E+0	64.128984056871928E+0	91.605875720634600E+0
185.000000000000090E+0	113.007452546637820E+0	167.229633338205450E+0
186.000000000000090E+0	122.271037097271760E+0	289.018461309124520E+0
187.000000000000090E+0	73.398247606890976E+0	217.516014279124480E+0
188.000000000000090E+0	24.786612380203945E+0	66.332385660846128E+0
189.000000000000090E+0	19.874853565898633E+0	115.519749529246920E+0
190.000000000000090E+0	54.564206578555215E+0	360.217025724655230E+0
191.000000000000090E+0	65.805661140453267E+0	442.761642425513680E+0
192.000000000000090E+0	22.985479436143454E+0	155.811353667731230E+0
193.000000000000090E+0	29.837666770522361E+0	141.486330016507390E+0
194.000000000000090E+0	61.368753602036392E+0	315.987539766324460E+0
195.000000000000090E+0	57.091217317862586E+0	312.054089710535950E+0
196.000000000000090E+0	63.270875482843770E+0	378.270087265736260E+0
197.000000000000090E+0	49.793073547932124E+0	273.875586566212920E+0
198.000000000000090E+0	17.884383650994810E+0	55.852749462423027E+0
199.000000000000090E+0	91.054969582605580E+0	499.486163130053800E+0
200.000000000000090E+0	78.528271587128415E+0	454.569057729979820E+0
201.000000000000090E+0	23.329448498394150E+0	136.782610090017100E+0
202.000000000000090E+0	19.716233025862213E+0	128.287664444836910E+0
203.000000000000090E+0	28.795483015182413E+0	90.614954188614888E+0
204.000000000000090E+0	81.176602369813636E+0	304.115983891046600E+0
205.000000000000090E+0	54.355516169103978E+0	198.854478601055830E+0
206.000000000000090E+0	36.133946504561877E+0	185.391429108742270E+0
207.000000000000090E+0	14.159541192272741E+0	88.327180775161580E+0
208.000000000000090E+0	15.359492590464018E+0	92.887557938536474E+0
209.000000000000090E+0	51.410720595631801E+0	282.206080125123490E+0
210.000000000000080E+0	39.944354699901176E+0	208.663394805391140E+0
211.000000000000080E+0	10.629220611766097E+0	47.635961611562649E+0
212.000000000000080E+0	21.923043213722870E+0	137.401319399515780E+0
213.000000000000080E+0	25.000883205737090E+0	189.368416464849560E+0
214.000000000000080E+0	20.687613786827281E+0	121.165322921864910E+0
215.000000000000080E+0	27.653762921559416E+0	171.414312112526570E+0
216.000000000000080E+0	14.203037112264017E+0	96.223187633973140E+0
217.000000000000080E+0	5.070046942928062E+0	63.330941413813079E+0
218.000000000000080E+0	24.258872781172066E+0	231.350052107919570E+0
219.000000000000080E+0	28.222865368211881E+0	192.921055021651740E+0
220.000000000000080E+0	21.303634160485593E+0	110.422984091943140E+0
221.000000000000080E+0	20.934277997844429E+0	66.743125537728389E+0
222.000000000000080E+0	29.881296879145157E+0	138.542593010411740E+0
